Brand,Ram,ROM,Online-Price,Retail-Price
Oppo A76,12,128,19990,22990
Samsung galaxy Z Fold 4,6,32,10490,12490
Oppo F11,4,128,24990,27990
Oppo A83,8,128,34990,37990
Oppo K7,8,64,15490,17490
Oppo F1,8,128,22990,25490
Vivo Y20,8,128,15490,17490
OnePlus 6T McLaren,8,128,29990,32990
Oppo F19 Pro,4,64,13490,14990
OnePlus 2 5G,12,128,25990,28990
Oppo A5 2020,8,128,23990,26990
Oppo A8,6,128,14990,17990
Oppo A9,4,128,19990,22990
Oppo A5,8,128,24990,27990
Samsung galaxy F52 5G,6,128,18490,20490
Oppo Find X3 Lite,3,32,9490,11490
Oppo A31 (2021),4,16,10490,12490
Oppo A74,8,32,10999,12999
Oppo K10 5G,8,128,27990,30990
OnePlus 3T 5G,6,64,14990,16990
Oppo Find X2,6,128,28990,31990
Samsung galaxy A32 4G,8,64,17990,19990
Samsung galaxy A11,12,128,19990,22990
Samsung galaxy M11,4,256,32990,35990
Oppo R9s,8,32,11490,13490
Samsung galaxy M32 5G,3,256,54990,57990
Samsung galaxy F41,6,32,13490,15490
OnePlus Nord CE 2,4,64,28990,31990
Samsung galaxy S21 FE,8,128,29990,32990
Samsung galaxy M31,3,32,10999,12999
Oppo Reno 5 Pro,8,128,18990,21990
Vivo Y30,8,128,15490,17990
Vivo X60,6,256,42999,45999
Oppo A92,8,64,24990,26990
Samsung galaxy A02s,8,128,16990,19990
Samsung galaxy S20 FE,3,32,9999,11999
Oppo Reno 4 Z,4,128,18490,20490
Oppo A57,3,128,25990,28990
Oppo Reno 7,8,64,17490,19990
Vivo X70 Pro,8,128,29990,32990
Samsung galaxy M51,4,128,35990,38990
Oppo A7 (2020),4,64,15990,17990
Vivo V23 Pro,6,128,32990,35990
Vivo Y15s,12,64,25990,28990
Oppo A7n,3,64,18490,20990
Samsung galaxy M02s,12,128,16990,19990
Oppo Find X5,3,32,10490,12490
Oppo A92 (2021),4,64,19990,22990
Oppo A12,12,32,14990,16990
Oppo Reno 2 F,8,64,27990,30990
Samsung galaxy F22 5G,8,64,15990,17990
Vivo Y12s,3,128,32990,35990
Oppo F19 Pro+,8,64,16490,18490
Oppo Reno 4 Pro,6,128,29990,32990
Oppo A31,12,128,25990,28990
Samsung galaxy Note 20,8,32,11490,13490
OnePlus 6 5G,6,256,79999,82999
OnePlus 3 5G,3,256,38999,39999
Vivo Y53s,4,128,24990,25990
Oppo A16,8,128,18990,19990
Oppo A7,4,64,14990,15490
Oppo R11s,8,128,29990,30990
Oppo A16K,4,256,39990,40990
Vivo V25,8,256,36999,37999
OnePlus 7 5G,4,128,29999,30999
Samsung galaxy A52 4G,6,32,10990,11490
Oppo R17,4,32,12490,12990
Oppo A33,8,256,46990,48990
Oppo F5,8,256,64990,66990
OnePlus X 5G,8,128,19490,20490
OnePlus 4 5G,8,128,15990,16990
Oppo R11s Plus,6,64,14490,14990
Samsung galaxy M42 5G,8,256,69990,71990
Samsung galaxy S22 5G,4,128,27990,28990
Samsung galaxy A42 5G,6,256,32990,33990
Oppo F15,8,128,26990,27990
Oppo F11 Pro,8,128,59999,62999
Samsung galaxy S10 Lite,8,256,57999,60999
Oppo K10,8,256,42999,45999
Vivo X80 Pro,6,128,39999,42999
Oppo A15s,12,128,54999,57999
Samsung galaxy A73 5G,8,128,29999,31999
Oppo Find X,3,128,24999,25999
OnePlus 5 5G,6,128,19999,21999
OnePlus 9,8,256,45999,48999
OnePlus 7T 5G,12,256,60999,63999
Vivo X70,4,256,44999,47999
Oppo A2,6,256,49999,52999
Oppo A1k,3,256,42999,45999
Vivo V19,4,128,38999,40999
Vivo S9,8,128,32999,34999
Samsung galaxy A14 5G,6,128,29999,31999
Vivo Y21G,8,64,20999,22999
Oppo Reno 3,12,128,25999,27999
Samsung galaxy A52s 5G,8,64,19999,21999
Vivo V21e,12,16,15999,17999
OnePlus 8T,3,64,19999,21999
Samsung galaxy M30s,4,64,14999,16999
